school,school url,location,course name,price,skill,description
Thinkful,/schools/thinkful,Online,Programming in Python,500,Python  SQL,Meet the language of choice across statistics  finance  web development and general scripting. In 2014  Python surpassed Java as the most popular introductory programming language at top-ranked university computer science departments. We use Python in our backend software at Thinkful because of its versatility. In this course  you'll build entire web apps in Flask while learning object-oriented programming  test-driven development (TDD) and how to host your work on Heroku.    You'll start by building a couple of basic Python apps and learning best practices. Then learn to read and write data from spreadsheets and third party APIs. And finally how to work with relational databases  SQL  SQLite  PostgresSQL  and SQLAlchemy. All in Python and all with an experienced Python engineer like Joe Turner  who wrote this very course.
Thinkful,/schools/thinkful,Online,Data Science in Python,500,Python  Data Science,Data science is the analysis of problems critical to our lives: from helping predict the spread of highly infectious diseases to guessing which movie you're likely to enjoy on Netflix. In this course you'll learn to answer these questions and more.    As you build your data science toolset  you'll manipulate Citi Bike Station Feed data  and run the numbers on life expectancy using UN data. Scrape and classify using the famous Iris Dataset and weather data from the NOAA. Collect  analyze and visualize them to answer questions. Your findings will be through 7 projects presented online. This course is designed specifically for beginners looking to get an overview of the fundamental tools and analysis techniques data scientists use every day.
Thinkful,/schools/thinkful,Online,iOS Programming in Swift,500,Swift  iOS  Xcode  Mobile,The App Store is the chosen platform for the world’s most ground-breaking developers: from Snapchat to Venmo  Words with Friends to Vine. They all came to iOS first. In 2014 Apple announced Swift  the language that will power all future apps on iOS. And best of all it's made just for beginners.    In Thinkful's Swift course you’ll learn the fundamentals of iOS app development. Starting with the basics of Xcode and Swift programming  you'll go over view controllers and table views — the building blocks of all iOS apps. With 1-on-1 help from your mentor  a professional Swift developer  you'll complete eight projects over five packed units. This course is designed to teach anyone how to publish their first app to the App Store – it's perfect for coding beginners or those just new to Swift.
Thinkful,/schools/thinkful,Online,User Experience Design,300,User Experience Design,User experience designers understand what their users want. Through research  sketching  wireframing  prototyping  and testing they uncover how a product should be used. Steve Jobs famously said  “Most people make the mistake of thinking design is what it looks like. Design is how it works.” Steve is talking about UX design. It sits at the center of user needs  business goals  and brand identity.    With your mentor you'll create wireframes  build interactive prototypes  and become a better designer. You'll gain experience from your expert UX designer drafting user personas  participating in design critiques  and building your portfolio. According to Indeed  job openings in user-experience design have doubled over the last five years  and with this course you'll be ready for them.
Thinkful,/schools/thinkful,Online,Frontend Web Development,500,JavaScript  HTML  jQuery  CSS,This course is the best way to create a real portfolio while getting started as an engineer. Working with a professional frontend developer you'll create eight interactive websites – including an online resume  a clone of Google's homepage and an interactive shopping list – using HTML  CSS  JavaScript and jQuery. Don't know what those are? Don't worry  your mentor will teach you 1-on-1.    You'll master these fundamentals with 1-on-1 guidance from your mentor who is a professional developer. Your mentor will be there to help you when you get stuck  motivate you to finish a challenging project  and keep you on track. You’ll graduate with a full portfolio and a fully-stacked GitHub profile. Even if you’ve literally never coded a single line you can take the course and become a beginner frontend developer.
Thinkful,/schools/thinkful,Online,Backend in Node.js,500,Git  Node.js,Node.js is the perfect skill to unlock incredible career opportunities for software developers. Tech companies like Yahoo  Microsoft  LinkedIn  Ebay  and many more have all made the switch. Now you can be a part of it. This course is a great choice if you'd like to apply your knowledge of JavaScript to concquer complete  fullstack web apps.    It's a great follow-up to our Frontend Web Development course with five projects covering MongoDB  Socket.io  Express  Git  and TDD. And for those that need it  there's an optional refresher on JavaScript fundamentals. The course was written and maintained by our very own AJ Webb and a brilliant team of five Node engineers.
Thinkful,/schools/thinkful,Online,Web Development in Rails,500,JavaScript  HTML  Git  Rails  jQuery  Ruby,Ruby on Rails was the first web development framework to gain mass adoption with both engineers and beginner programmers. It allowed both groups to quickly create fully-featured web apps using best practices for things like managing databases and rendering HTML. Demand for Rails developers remains off the charts with many of the web's most popular companies – including Airbnb  Groupon  Hulu  Kickstarter.    This course is perfect for absolute beginners  written entirely by Thinkful's most experienced mentors. It begins with the fundamentals of Ruby  including how to use the same tools as a professional engineer including git  GitHub  and the command line. Within a few weeks you'll deploy your first web application and then after a quick refresher on HTML  you'll dive into template rendering. You'll graduate having created complete apps and with a grasp of programming fundamentals in Ruby  Rails  JavaScript  and jQuery.
Thinkful,/schools/thinkful,Online,Frontend in AngularJS,500,AngularJS,Master the fastest-growing JavaScript framework that's revolutionizing the web. Angular lets you build dynamic  single-page web applications from scratch that are so smooth your users will forget they're still inside a web browser.    This course was written by Matias Niemela  a Google engineer  core contributor to Angular and writer for Yearofmoo. It will teach you everything you need to know to build complete apps in AngularJS. It includes 16 interactive projects  covers the MVC (Model-View-Controller)  how to wrap APIs in services  and most importantly (for Angular) how to extend your HTML vocabulary with directives. You’ll gain important hands-on development experience and graduate with fresh additions for your portfolio.
Thinkful,/schools/thinkful,Online,Flexible Web Development Bootcamp,1 500,AngularJS  Front End  JavaScript  HTML  Git  jQuery  CSS  Node.js,The Flexible Web Development Bootcamp combines an in-depth  project-based approach with three 1-on-1 sessions every week. This program is built to land beginners their first full time web developer job - at a flexible pace and without having to quit your current job! In this fully online program you'll work side-by-side with a professional developer building interactive websites and apps. Your mentor will customize each phase of the course  so you can learn other JavaScript frameworks and build advanced capstone projects from scratch. You'll also gain valuable real-world experience working in a team setting as you collaborate with other students over GitHub and Slack.
Thinkful,/schools/thinkful,Online,Full Time Web Development Bootcamp,3 850,Data Science  Front End  JavaScript  HTML  Git  Design  CSS  React.js  Node.js,Thinkful’s Full Time Web Development Bootcamp focuses on an in-depth  project based approach. The Full Time pace pushes students to become web developers in 16 weeks and requires over 40 hours of effort per week. The fully online program features constant support  as students interact with their classmates  instructors  and mentors. Each student has a dedicated mentor  who they meet with daily 1-on-1 for half an hour. The course teaches students full-stack JavaScript and features a “flex week ” in which students can choose to learn different technologies of their choice  including Ruby and Python. Students also use industry-standard collaboration tools such as GitHub and Slack.
Thinkful,/schools/thinkful,Online,Flexible Data Science Bootcamp,1 500,Data Science,The Flexible Data Science Bootcamp combines an in-depth  project-based approach with three 1-on-1 sessions every week. This program is built to land beginners their first full time job as a data scientist - at a flexible pace and without having to quit your current job! In this fully online program you'll work side-by-side with a professional data scientist to learn Analysis and experiment design  Predictive modeling  classification techniques  or customer types via unsupervised learning.  Your mentor will customize each phase of the course  so you can learn what works best for your goals. You'll also gain valuable real-world experience working in a team setting as you collaborate with other students over GitHub and Slack.
Thinkful,/schools/thinkful,Atlanta,Flexible Web Development Bootcamp,1 500,AngularJS  Front End  JavaScript  HTML  Git  jQuery  CSS  Node.js,We'll match you with an experienced engineer from one of Atlanta’s top companies who you’ll meet 1-on-1  three times per week to learn best practices  get code review  and prepare for interviews. You’ll also have the option to meet in person with fellow students and mentors in the Atlanta area at regular meetups to share ideas and work through coding problems. After graduation  we'll work with you to land a full-time job as a developer with a participating company.
Thinkful,/schools/thinkful,Atlanta,Flexible Data Science Bootcamp,1 500,Data Science,The Flexible Data Science Bootcamp combines an in-depth  project-based approach with three 1-on-1 sessions every week with one of Atlanta's top data scientists. This program is built to land beginners their first full time job as a data scientist - at a flexible pace and without having to quit your current job! You'll work side-by-side with a professional data scientist to learn Analysis and experiment design  Predictive modeling  classification techniques  or customer types via unsupervised learning. You’ll also have the option to meet in person with fellow students and mentors in the Atlanta area at regular meetups to share ideas and work through problems.
Thinkful,/schools/thinkful,Raleigh,Flexible Web Development Bootcamp,1 500,AngularJS  Front End  JavaScript  HTML  Git  jQuery  CSS  Node.js,We'll match you with an experienced engineer from one of Raleigh's top companies who you’ll meet 1-on-1  three times per week to learn best practices  get code review  and prepare for interviews. You’ll also have the option to meet in person with fellow students and mentors in the Raleigh area at regular meetups to share ideas and work through coding problems. After graduation  we'll work with you to land a full-time job as a developer with a participating company.
Thinkful,/schools/thinkful,Raleigh,Flexible Data Science Bootcamp,1 500,Data Science,The Flexible Data Science Bootcamp combines an in-depth  project-based approach with three 1-on-1 sessions every week with one of Raleigh's top data scientists. This program is built to land beginners their first full time job as a data scientist - at a flexible pace and without having to quit your current job! You'll work side-by-side with a professional data scientist to learn Analysis and experiment design  Predictive modeling  classification techniques  or customer types via unsupervised learning. You’ll also have the option to meet in person with fellow students and mentors in the Raleigh area at regular meetups to share ideas and work through problems.
Thinkful,/schools/thinkful,Washington,Flexible Web Development Bootcamp,1 500,Data Science,The Flexible Data Science Bootcamp combines an in-depth  project-based approach with three 1-on-1 sessions every week with one of Raleigh's top data scientists. This program is built to land beginners their first full time job as a data scientist - at a flexible pace and without having to quit your current job! You'll work side-by-side with a professional data scientist to learn Analysis and experiment design  Predictive modeling  classification techniques  or customer types via unsupervised learning. You’ll also have the option to meet in person with fellow students and mentors in the Raleigh area at regular meetups to share ideas and work through problems.
Thinkful,/schools/thinkful,Washington,Flexible Data Science Bootcamp,1 500,Data Science,The Flexible Data Science Bootcamp combines an in-depth  project-based approach with three 1-on-1 sessions every week with one of D.C.'s top data scientists. This program is built to land beginners their first full time job as a data scientist - at a flexible pace and without having to quit your current job! You'll work side-by-side with a professional data scientist to learn Analysis and experiment design  Predictive modeling  classification techniques  or customer types via unsupervised learning. You’ll also have the option to meet in person with fellow students and mentors in the D.C area at regular meetups to share ideas and work through problems.
Thinkful,/schools/thinkful,Los Angeles,Flexible Web Development Bootcamp,1 500,AngularJS  Front End  JavaScript  HTML  Git  jQuery  CSS  Node.js,We'll match you with an experienced engineer from one of Los Angeles' top companies who you’ll meet 1-on-1  three times per week to learn best practices  get code review  and prepare for interviews. You’ll also have the option to meet in person with fellow students and mentors in the L.A. area at regular meetups to share ideas and work through coding problems. After graduation  we'll work with you to land a full-time job as a developer with a participating company.
Thinkful,/schools/thinkful,Los Angeles,Flexible Data Science Bootcamp,1 500,Data Science,The Flexible Data Science Bootcamp combines an in-depth  project-based approach with three 1-on-1 sessions every week with one of Los Angeles' top data scientists. This program is built to land beginners their first full time job as a data scientist - at a flexible pace and without having to quit your current job! You'll work side-by-side with a professional data scientist to learn Analysis and experiment design  Predictive modeling  classification techniques  or customer types via unsupervised learning. You’ll also have the option to meet in person with fellow students and mentors in the L.A. area at regular meetups to share ideas and work through problems.
General Assembly,/schools/general-assembly,Los Angeles,Product Management (Part-time),3 950,Data Science,The Flexible Data Science Bootcamp combines an in-depth  project-based approach with three 1-on-1 sessions every week with one of Los Angeles' top data scientists. This program is built to land beginners their first full time job as a data scientist - at a flexible pace and without having to quit your current job! You'll work side-by-side with a professional data scientist to learn Analysis and experiment design  Predictive modeling  classification techniques  or customer types via unsupervised learning. You’ll also have the option to meet in person with fellow students and mentors in the L.A. area at regular meetups to share ideas and work through problems.
General Assembly,/schools/general-assembly,Los Angeles,Web Development Immersive,14 950,AngularJS  JavaScript  MongoDB  HTML  Rails  jQuery  Ruby  CSS  Node.js,Downtown LA and Santa Monica Campuses
General Assembly,/schools/general-assembly,Los Angeles,Data Science Immersive,14 950,AngularJS  JavaScript  MongoDB  HTML  Rails  jQuery  Ruby  CSS  Node.js,Downtown LA and Santa Monica Campuses
General Assembly,/schools/general-assembly,Los Angeles,Data Science (Part-time),3 950,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,Los Angeles,User Experience Design (Part-Time),3 950,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,Los Angeles,Digital Marketing (Part-time),3 950,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,Los Angeles,Data Science (Part-time),3 950,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,Los Angeles,User Experience Design Immersive,14 950,User Experience Design,Attend classes designed and taught by some of the industry’s best UX designers. Apply your UX skills across five class projects and build a working portfolio. Become an apprentice or junior UX designer.
General Assembly,/schools/general-assembly,Los Angeles,Data Analytics (Part-time),3 500,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,New York City,User Experience Design Immersive,14 950,User Experience Design,Attend classes designed and taught by some of the industry’s best UX designers. Apply your UX skills across five class projects and build a working portfolio. Become an apprentice or junior UX designer.
General Assembly,/schools/general-assembly,New York City,Android Development Immersive,13 500,Java  Android,In this program  you’ll learn everything you need to create Android apps from scratch: programming  material design  connecting to third-party services  and iterative design during development sprints — all adapted for the platform.
General Assembly,/schools/general-assembly,New York City,User Experience Design (Part-time),3 950,User Experience Design,Use industry standard tools such as Sketch and Invision to prototype and wireframe design solutions. Put together a full suite of UX documentation for a digital product  from user personas and wireframes to interactive prototypes. Connect and convey how insights into customer behavior — from problems to solutions — can optimize any product or service.
General Assembly,/schools/general-assembly,New York City,Web Development Immersive,14 950,AngularJS  JavaScript  MongoDB  HTML  Rails  jQuery  Ruby  CSS  Node.js,Use industry standard tools such as Sketch and Invision to prototype and wireframe design solutions. Put together a full suite of UX documentation for a digital product  from user personas and wireframes to interactive prototypes. Connect and convey how insights into customer behavior — from problems to solutions — can optimize any product or service.
General Assembly,/schools/general-assembly,New York City,Data Analytics (Part-time),3 500,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,New York City,Digital Marketing  (Part-time),3 500,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,New York City,Data Science Immersive,3 500,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,New York City,Data Science (Part-time),3 950,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,New York City,Product Management (Part-time),3 950,Product Management,Guide a product through its lifecycle via lean methodologies like Agile  market research  UX  and financial modeling. Create a roadmap  business model canvas  MVP  key metrics  personas  wireframing  and a stakeholder management plan. Grow capable of launching viable  market‐ready products that anticipate user needs by making tough decisions and working with stakeholders.
General Assembly,/schools/general-assembly,New York City,Front-End Web Development  (Part-time),3 500,JavaScript  HTML  jQuery  CSS,Use HTML5  CSS3  JavaScript  jQuery  GitHub  and Sublime in concert. Build a fully responsive  interactive website that stands apart from the usual templates. Understand how a skillful mix of programming and layout powers the web we see – and how teams collaborate to create it.
General Assembly,/schools/general-assembly,New York City,iOS Development  (Part-time),3 500,JavaScript  HTML  jQuery  CSS,Use HTML5  CSS3  JavaScript  jQuery  GitHub  and Sublime in concert. Build a fully responsive  interactive website that stands apart from the usual templates. Understand how a skillful mix of programming and layout powers the web we see – and how teams collaborate to create it.
General Assembly,/schools/general-assembly,San Francisco,User Experience Design (Part-time),3 950,JavaScript  HTML  jQuery  CSS,Use HTML5  CSS3  JavaScript  jQuery  GitHub  and Sublime in concert. Build a fully responsive  interactive website that stands apart from the usual templates. Understand how a skillful mix of programming and layout powers the web we see – and how teams collaborate to create it.
General Assembly,/schools/general-assembly,San Francisco,JavaScript Development (Part-time),3 950,JavaScript  HTML  jQuery  CSS,Use HTML5  CSS3  JavaScript  jQuery  GitHub  and Sublime in concert. Build a fully responsive  interactive website that stands apart from the usual templates. Understand how a skillful mix of programming and layout powers the web we see – and how teams collaborate to create it.
